,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
324,324,324,11-20,1.5667007901949357,-0.5816511006353422,0.5335093537870471
325,325,325,11-21,2.5324070162780385,2.325038533439982,0.4345862100237163
326,326,326,11-22,1.852952258290368,0.2799402949452791,0.4719620937869855
327,327,327,11-23,1.3697958710020202,-1.17431735053403,0.17153715471851574
328,328,328,11-24,1.908435797959576,0.4469408022034946,0.5951199563569086
329,329,329,11-25,1.6713294209778198,-0.26672825110829296,0.36019725035013384
330,330,330,11-26,2.4110769024743925,1.9598457091950148,0.2533896127517085
331,331,331,11-27,2.0641086802339084,0.9155022973993342,0.4744973738373286
332,332,332,11-28,1.6400403613760497,-0.3609055306452727,0.7378103687017159
333,333,333,11-29,1.8105552950819257,0.15232921597969068,0.9578979899688526
334,334,334,11-30,2.4333277483793587,2.0268187713898183,0.5283968377664164
335,335,335,12-01,2.110055283518917,1.0537974764945266,0.4479552428290825
336,336,336,12-02,1.5549030641752657,-0.6171612040196018,0.3682244121865738
337,337,337,12-03,1.903755235910808,0.4328527277753304,0.11806104913604773
338,338,338,12-04,1.4811037649270609,-0.8392905145003251,-0.4066429164881917
339,339,339,12-05,1.3118760118099777,-1.3486509623234657,-0.7956032550331728
340,340,340,12-06,1.3873752383205744,-1.1214050223556191,-0.6445233629981189
341,341,341,12-07,1.334696092302537,-1.2799645547753598,-0.3908843056795796
342,342,342,12-08,1.856067916446729,0.2893181481907221,-0.3293622571253944
343,343,343,12-09,2.409363018645306,1.9546870716865656,-0.06947146774700848
344,344,344,12-10,1.6037427105516708,-0.4701582231752138,-0.1499279647376689
345,345,345,12-11,1.8299460880825704,0.2106937739468498,0.01039186740133117
346,346,346,12-12,1.2269920880278171,-1.6041440042995811,0.3233422343265877
347,347,347,12-13,1.6542799754517583,-0.3180455619413594,0.12921942004107198
348,348,348,12-14,2.4799077256615583,2.1670203497422613,0.3783324172770153
349,349,349,12-15,2.0223957796612244,0.7899501859734712,0.4346074649920544
350,350,350,12-16,2.100328179344943,1.0245197602404459,0.6180842325323749
351,351,351,12-17,1.9421255859851565,0.5483440602370843,0.6114589222283244
352,352,352,12-18,1.5927373427219709,-0.5032833990576581,0.2769915433231957
353,353,353,12-19,1.6410729856128394,-0.3577974237656621,0.2746478588372074
354,354,354,12-20,1.8131755920814328,0.16021607631148935,-0.03978021170935795
355,355,355,12-21,2.0177238449484967,0.7758880790575412,-0.07425878483755928
356,356,356,12-22,1.4735426942574494,-0.8620486630389462,-0.2391055566682848
357,357,357,12-23,1.8733954972697344,0.3414726214678763,-0.3907233278116209
358,358,358,12-24,1.2641293922059027,-1.4923640300420111,-0.3809609465018073
359,359,359,12-25,1.338835917310483,-1.2675040506256787,-0.5972087592892565
360,360,360,12-26,1.8326360648510691,0.21879036417037093,-0.5678440520654897
361,361,361,12-27,1.5866523124307992,-0.5215987976671543,-0.6403549938927767
362,362,362,12-28,1.5320787283644144,-0.6858604196963453,-0.4224615516841097
363,363,363,12-29,1.728851132104232,-0.0935930294958458,
364,364,364,12-30,1.6984813463260977,-0.18500337679000906,
365,365,365,12-31,,,
