,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
278,278,278,10-05,2.036246868626773,-1.3143189931742079,-0.8240421849329689
279,279,279,10-06,1.8964824414496384,-1.5771372963184984,-0.8061027252361267
280,280,280,10-07,1.842897743256361,-1.6778999849231429,-1.221872103293074
281,281,281,10-08,2.339741141966464,-0.7436169086441011,-1.1008730944590424
282,282,282,10-09,2.1969188445428616,-1.012185346394485,-0.8786288309217576
283,283,283,10-10,2.5862459117021803,-0.28008003729981723,-0.7661802535145821
284,284,284,10-11,2.745371959575392,0.01914658804950073,-0.5409287169978446
285,285,285,10-12,2.2552773386125446,-0.9024458318754448,-0.5021057323896555
286,286,286,10-13,2.561618279734686,-0.3263907658227178,-0.3982744827651548
287,287,287,10-14,2.4636154415906715,-0.5106790009949663,-0.4865301115600739
288,288,288,10-15,2.5282180338284848,-0.3891978486474804,-0.6350172821805454
289,289,289,10-16,2.3046445790071517,-0.809613810069332,-0.736582281032797
290,290,290,10-17,2.2715870496972568,-0.8717764356733282,-0.8420770017428651
291,291,291,10-18,1.931209180892845,-1.5118358249889554,-0.7507291800990621
292,292,292,10-19,2.2250113760177945,-0.9593590900831268,-0.7681527990765633
293,293,293,10-20,2.7550831775858127,0.03740792886785173,-0.6732243981430388
294,294,294,10-21,2.4726236837407862,-0.4937395625124878,-0.4117809428972645
295,295,295,10-22,2.607537035596022,-0.2400434044681853,-0.2456010314594596
296,296,296,10-23,3.105786821733118,0.6968842958013178,-0.03879369585589785
297,297,297,10-24,2.461447140408939,-0.5147563563621262,0.13092992868792372
298,298,298,10-25,2.8848811442384448,0.2814849235382434,0.1751844299527532
299,299,299,10-26,3.296628227051512,1.0557496761307812,0.4444995980399041
300,300,300,10-27,2.6138285757583617,-0.2282125549235108,0.08679084524918558
301,301,301,10-28,3.466853447295457,1.3758476040547198,0.0799018858310828
302,302,302,10-29,1.9644288950153383,-1.4493682209429932,0.2560770458774926
303,303,303,10-30,2.4394662177243642,-0.556090112870743,0.2865673957865726
304,304,304,10-31,3.4470114075909515,1.3385358838167023,0.2049014543933189
305,305,305,11-01,3.3939152022390817,1.2386917755852611,9.2417932072227e-05
306,306,306,11-02,2.353253264629217,-0.7182082032830326,0.06614541752557228
307,307,307,11-03,2.8133597449335297,0.1469933852872396,0.03679888915833992
308,308,308,11-04,2.1751872678014674,-1.053050223381993,-0.19651681865627574
309,309,309,11-05,2.3458288870404664,-0.7321692830741371,-0.29251330482
310,310,310,11-06,2.7025601453156307,-0.06135836307099201,0.08132567638506623
311,311,311,11-07,3.0876147565127137,0.6627128586029158,0.3830111090848841
312,312,312,11-08,3.5460786601099303,1.5248256839473646,0.492949511118393
313,313,313,11-09,3.7759614629537617,1.9571059814861471,0.5523159125758522
314,314,314,11-10,2.5259728318467642,-0.3934198111809393,0.5147643219060712
315,315,315,11-11,2.5352520206807654,-0.3759708743293824,0.3703027234542649
316,316,316,11-12,2.582742541364264,-0.28666790708967765,0.2477833966307902
317,317,317,11-13,2.6266744266691315,-0.20405673210792244,-0.1111868795941422
318,318,318,11-14,3.1551505551778343,0.7897097230065161,-0.18330002058057746
319,319,319,11-15,2.630578334839184,-0.19671567586344765,-0.16231612675871712
320,320,320,11-16,2.2958780845327684,-0.8260986570995507,0.0843869259047156
321,321,321,11-17,2.602206305025596,-0.2500675113982204,0.21740965032804307
322,322,322,11-18,3.3699094264519824,1.1935504088909188,0.3814458695513809
323,323,323,11-19,3.0511162100184683,0.5940796144320424,0.6198173299433544
324,324,324,11-20,3.6785485364089774,1.7739270383465433,0.6619284112318649
325,325,325,11-21,3.391161221612569,1.2335130864883932,0.6736342064556063
326,326,326,11-22,2.430243866908293,-0.5734321693684878,0.5780940934737487
327,327,327,11-23,2.6395565293712924,-0.17983274005577113,0.4501637011945484
328,328,328,11-24,3.0650651518273864,0.6203097309997726,0.08125877023368372
329,329,329,11-25,2.642922767289356,-0.17350273924315948,-0.0015095976154485176
330,330,330,11-26,2.5014664441410264,-0.4395025474186449,0.20485065513870526
331,331,331,11-27,3.1270683472026164,0.7369028793935996,0.6016053680558533
332,332,332,11-28,3.0886871071223174,0.6647293471564347,0.9269753500037754
333,333,333,11-29,3.9055002140525623,2.2006955374471167,1.2422455383135802
334,334,334,11-30,4.103238260858219,2.5725296226873047,1.4021144333232032
335,335,335,12-01,3.6488699958038593,1.7181183906156694,1.7342027071381283
336,336,336,12-02,3.0115675505056236,0.5197108226390932,1.540219102558952
337,337,337,12-03,4.186677822038268,2.7294325222831497,1.0975055488677692
338,338,338,12-04,2.4697346129146482,-0.4991722803186221,0.5832665416359832
339,339,339,12-05,2.4929135221455385,-0.45558578469997896,0.43845403577726544
340,340,340,12-06,2.46243198325821,-0.5129044207034111,0.2749088697437728
341,341,341,12-07,3.1868100094036573,0.849243355463362,-0.13981616648673667
342,342,342,12-08,2.4897363954879776,-0.4615601735618627,-0.1616571641777218
343,343,343,12-09,2.8633953923602085,0.241082304900093,0.05087588146769122
344,344,344,12-10,2.40004552745742,-0.6302182664645328,0.16774539801803945
345,345,345,12-11,3.1710525792537827,0.8196124891724992,0.08437880526798099
346,346,346,12-12,2.835332976218972,0.18831267859867826,0.15129232017091834
347,347,347,12-13,2.9208083510254474,0.34904379896301124,0.1140741178657579
348,348,348,12-14,2.703240454427509,-0.06007908414423864,0.4408979987541893
349,349,349,12-15,2.744641546143776,0.017773091069130383,0.5125179019508329
350,350,350,12-16,3.4428576593453966,1.3307250188660555,0.7668459805378013
351,351,351,12-17,3.399573529849796,1.2493319083523609,0.6220867862227891
352,352,352,12-18,3.6468293855673055,1.7142811501204889,0.4664509663837624
353,353,353,12-19,2.4589184682431173,-0.5195113669270616,0.4842600611424336
354,354,354,12-20,2.206646017560538,-0.9938940031783988,0.3880497707914214
355,355,355,12-21,2.8014658517049256,0.12462765962115775,0.2696296947590953
356,356,356,12-22,3.13587501867126,0.7534632767599819,-0.07580709083299719
357,357,357,12-23,3.021725094754068,0.5388114521584046,-0.0952949807119322
358,358,358,12-24,2.5446281944040714,-0.3583395634320661,0.20151500266100367
359,359,359,12-25,2.396737553141666,-0.6364387062006716,0.19023021370677387
360,360,360,12-26,3.1536914130358675,0.7869658970592169,0.22290059445254332
361,361,361,12-27,2.7654589516115884,0.05691892589577861,0.17041718366375547
362,362,362,12-28,3.2401179194729863,0.9494855612345988,0.2153787944637133
363,363,363,12-29,2.854263839032392,0.22391098742567728,
364,364,364,12-30,2.6880892936480008,-0.08856989863231911,
365,365,365,12-31,,,
