,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
345,345,345,12-11,1.4556096508009817,-0.6732023351536964,-0.35436535471739
346,346,346,12-12,1.6847759291072009,0.018572829257042785,-0.10350416166528793
347,347,347,12-13,1.5089150275484569,-0.5122915064052049,0.3013666684041206
348,348,348,12-14,1.8026760407280091,0.3744732248272218,0.39882695820805414
349,349,349,12-15,2.3361528083739787,1.9848584061690835,0.864088755843888
350,350,350,12-16,2.0763331608237103,1.200551130553876,1.1231083459131104
351,351,351,12-17,2.380381051287039,2.118368450661306,1.2240926444967113
352,352,352,12-18,2.1996127592075854,1.5726903696723769,1.0322954186093403
353,353,353,12-19,1.70963512041401,0.09361428509639996,0.707563110435614
354,354,354,12-20,1.4214528453260231,-0.7763101304970046,0.6007162594659968
355,355,355,12-21,1.6907029714459578,0.0364645571267262,0.32776628580552636
356,356,356,12-22,1.8639604439774484,0.5594700247361721,0.5267679275496531
357,357,357,12-23,1.8378556802223047,0.4806686086984828,0.5405056595981744
358,358,358,12-24,2.5951557156030383,2.7667002201371367,0.8379545751547433
359,359,359,12-25,1.7369407401114971,0.17604067738752846,0.7987279642617676
360,360,360,12-26,2.012673211171769,1.008383362842408,0.684554268778959
361,361,361,12-27,1.6127347220084398,-0.1988951082311277,0.515298389273716
362,362,362,12-28,1.637024622453266,-0.12557214816067924,0.10409679893644593
363,363,363,12-29,1.5014364910133182,-0.5348666683329754,
364,364,364,12-30,1.7778363644107202,0.2994906781135165,
365,365,365,12-31,,,
